Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
1810,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1820,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1830,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1840,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1850,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1860,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1870,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1880,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1890,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1900,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1910,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1920,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1930,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1940,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1950,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1960,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1970,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1980,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
1990,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2000,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2010,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2020,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2030,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
