Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
1160,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1170,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1180,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1190,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1200,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1210,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1220,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1230,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1240,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1250,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1260,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1270,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1280,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1290,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1300,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1310,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1320,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1330,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1340,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1350,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1360,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
1370,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
