Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10
1410,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1420,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1430,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1440,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1450,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1460,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1470,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1480,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1490,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1500,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1510,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1520,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1530,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1540,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1550,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1560,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1570,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1580,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1590,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1600,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1610,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1620,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
1630,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1640,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1650,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1660,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1670,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1680,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1690,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1700,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1710,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1720,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1730,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1740,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1750,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1760,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1770,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1780,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1790,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1800,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1810,-2018212,3.091892e-09,0.6355773,0.5241004,0.7126603,0.7022947,0.7789908,0.7085951,0.7105306,0.7807578,0.6628196,0.9195099
1820,-2014442,3.510172e-09,0.7403703,0.6736739,0.7524228,0.7002764,0.5338631,0.7766597,0.8223405,0.7841518,0.6242338,0.8596629
1830,-2014442,3.510172e-09,0.7403703,0.6736739,0.7524228,0.7002764,0.5338631,0.7766597,0.8223405,0.7841518,0.6242338,0.8596629
1840,-2014442,3.510172e-09,0.7403703,0.6736739,0.7524228,0.7002764,0.5338631,0.7766597,0.8223405,0.7841518,0.6242338,0.8596629
1850,-2014442,3.510172e-09,0.7403703,0.6736739,0.7524228,0.7002764,0.5338631,0.7766597,0.8223405,0.7841518,0.6242338,0.8596629
1860,-2014442,3.510172e-09,0.7403703,0.6736739,0.7524228,0.7002764,0.5338631,0.7766597,0.8223405,0.7841518,0.6242338,0.8596629
1870,-2014442,3.510172e-09,0.7403703,0.6736739,0.7524228,0.7002764,0.5338631,0.7766597,0.8223405,0.7841518,0.6242338,0.8596629
1880,-2014442,3.510172e-09,0.7403703,0.6736739,0.7524228,0.7002764,0.5338631,0.7766597,0.8223405,0.7841518,0.6242338,0.8596629
