Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7
1270,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1280,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1290,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1300,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1310,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1320,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1330,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1340,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1350,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1360,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1370,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1380,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1390,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1400,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1410,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1420,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1430,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1440,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1450,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1460,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1470,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1480,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1490,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1500,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1510,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1520,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1530,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1540,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1550,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1560,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1570,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1580,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1590,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1600,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1610,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1620,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1630,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1640,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1650,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1660,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1670,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1680,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1690,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1700,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1710,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1720,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1730,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1740,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1750,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1760,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1770,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1780,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1790,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1800,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1810,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1820,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1830,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1840,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1850,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1860,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1870,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1880,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1890,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1900,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1910,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1920,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1930,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1940,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1950,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1960,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1970,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1980,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
1990,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
2000,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
2010,-1001865,2.759686e-09,0.09104102,0.6321077,0.8314922,0.7985373,0.6608178,0.6522486,0.6374542
