Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
560,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
570,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
580,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
590,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
600,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
610,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
620,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
630,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
640,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
650,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
660,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
670,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
