Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10
910,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
920,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
930,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
940,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
950,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
960,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
970,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
980,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
990,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1000,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1010,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1020,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1030,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1040,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1050,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1060,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1070,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1080,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1090,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1100,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1110,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1120,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1130,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1140,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1150,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1160,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1170,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1180,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1190,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
1200,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
