Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
570,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
580,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
590,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
600,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
610,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
620,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
630,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
640,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
650,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
660,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
670,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
680,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
690,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
700,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
710,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
720,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
730,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
740,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
750,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
760,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
770,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
780,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
790,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
800,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
810,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
820,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
830,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
840,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
850,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
860,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
870,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
880,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
890,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
900,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
910,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
920,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
930,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
