Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7
230,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
240,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
250,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
260,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
270,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
280,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
290,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
300,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
310,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
320,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
330,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
340,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
350,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
360,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
370,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
380,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
390,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
400,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
410,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
420,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
430,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
440,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
450,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
460,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
470,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
480,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
490,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
500,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
510,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
520,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
530,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
540,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
550,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
560,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
570,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
580,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
590,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
600,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
610,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
620,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
630,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
640,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
650,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
660,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
670,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
680,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
690,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
