Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
730,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
740,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
750,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
760,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
770,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
780,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
790,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
800,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
810,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
820,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
830,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
840,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
