Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8
850,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
860,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
870,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
880,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
890,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
900,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
910,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
920,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
930,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
940,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
950,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
960,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
970,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
980,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
990,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
1000,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
1010,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
1020,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
1030,-702.3783,1.518799e-07,0.7729635,0.7256436,0.7035144,0.9705271,0.6406767,0.443655,0.7808721,0.3140492
