Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5
1130,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1140,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1150,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1160,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1170,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1180,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1190,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1200,-612.409,3.411941e-07,0.02472311,0.4151632,0.6879335,0.7211907,0.5148918
1210,-614.5127,3.625576e-07,0.04827978,0.3445644,0.7581249,0.8406923,0.514093
1220,-614.5127,3.625576e-07,0.04827978,0.3445644,0.7581249,0.8406923,0.514093
1230,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1240,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1250,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1260,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1270,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1280,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1290,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1300,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1310,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1320,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1330,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1340,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1350,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1360,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1370,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1380,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1390,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1400,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1410,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1420,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1430,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1440,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1450,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1460,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1470,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1480,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1490,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1500,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1510,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1520,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1530,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1540,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1550,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1560,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1570,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1580,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1590,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1600,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1610,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1620,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1630,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1640,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1650,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1660,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1670,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1680,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1690,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1700,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1710,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1720,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1730,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1740,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1750,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1760,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1770,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1780,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
