Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9
310,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
320,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
330,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
340,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
350,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
360,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
370,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
380,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
390,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
400,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
410,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
420,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
430,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
440,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
