Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9
360,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
370,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
380,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
390,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
400,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
410,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
420,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
430,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
440,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
450,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
460,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
