Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
1040,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1050,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1060,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1070,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1080,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1090,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1100,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1110,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1120,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1130,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1140,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1150,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1160,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1170,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1180,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1190,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1200,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1210,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1220,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1230,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1240,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1250,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1260,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1270,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1280,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1290,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1300,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1310,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1320,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1330,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1340,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1350,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1360,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1370,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1380,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
1390,-905.3543,2.616303e-07,0.72093,0.9761055,0.859902,0.8865282,0.6066275,0.7738908
