Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7
730,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
740,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
750,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
760,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
770,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
780,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
790,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
800,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
810,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
820,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
830,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
840,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
850,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
860,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
870,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
880,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
890,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
900,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
910,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
920,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
930,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
940,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
950,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
960,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
970,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
980,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
990,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
1000,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
1010,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
1020,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
1030,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
1040,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
1050,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1060,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1070,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1080,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1090,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1100,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1110,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1120,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1130,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1140,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1150,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1160,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1170,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1180,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1190,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1200,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1210,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1220,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1230,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1240,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1250,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1260,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1270,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1280,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1290,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1300,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1310,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1320,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1330,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1340,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1350,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1360,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1370,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1380,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1390,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1400,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1410,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1420,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1430,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1440,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1450,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1460,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1470,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1480,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1490,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1500,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1510,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1520,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1530,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
